Event_Date,Weather_Date,Latitude,Longitude,Precipitation,Flood
2025-03-07,2025-03-01,-38.69888888888889,-62.33722222222222,6.699999809265137,0
2025-03-07,2025-03-02,-38.69888888888889,-62.33722222222222,0.1000000014901161,0
2025-03-07,2025-03-03,-38.69888888888889,-62.33722222222222,1.2000000476837158,0
2025-03-07,2025-03-04,-38.69888888888889,-62.33722222222222,2.0,0
2025-03-07,2025-03-05,-38.69888888888889,-62.33722222222222,7.800000190734863,0
2025-03-07,2025-03-06,-38.69888888888889,-62.33722222222222,46.79999923706055,0
2025-03-07,2025-03-07,-38.69888888888889,-62.33722222222222,79.4000015258789,1
2025-03-07,2024-03-01,-38.69888888888889,-62.33722222222222,0.0,0
2025-03-07,2024-03-02,-38.69888888888889,-62.33722222222222,0.0,0
2025-03-07,2024-03-03,-38.69888888888889,-62.33722222222222,0.0,0
2025-03-07,2024-03-04,-38.69888888888889,-62.33722222222222,0.1000000014901161,0
2025-03-07,2024-03-05,-38.69888888888889,-62.33722222222222,0.0,0
2025-03-07,2024-03-06,-38.69888888888889,-62.33722222222222,0.0,0
2025-03-07,2024-03-07,-38.69888888888889,-62.33722222222222,1.2999999523162842,0
2024-05-13,2024-05-07,-32.02222222222222,-58.19694444444444,25.0,0
2024-05-13,2024-05-08,-32.02222222222222,-58.19694444444444,9.600000381469728,0
2024-05-13,2024-05-09,-32.02222222222222,-58.19694444444444,0.0,0
2024-05-13,2024-05-10,-32.02222222222222,-58.19694444444444,1.7999999523162842,0
2024-05-13,2024-05-11,-32.02222222222222,-58.19694444444444,0.1000000014901161,0
2024-05-13,2024-05-12,-32.02222222222222,-58.19694444444444,4.300000190734863,0
2024-05-13,2024-05-13,-32.02222222222222,-58.19694444444444,0.4000000059604645,1
2024-05-13,2023-05-08,-32.02222222222222,-58.19694444444444,0.0,0
2024-05-13,2023-05-09,-32.02222222222222,-58.19694444444444,0.0,0
2024-05-13,2023-05-10,-32.02222222222222,-58.19694444444444,0.0,0
2024-05-13,2023-05-11,-32.02222222222222,-58.19694444444444,0.0,0
2024-05-13,2023-05-12,-32.02222222222222,-58.19694444444444,0.0,0
2024-05-13,2023-05-13,-32.02222222222222,-58.19694444444444,0.0,0
2024-05-13,2023-05-14,-32.02222222222222,-58.19694444444444,0.0,0
2018-02-03,2018-01-28,-22.37305555555556,-62.47222222222222,23.19999885559082,0
2018-02-03,2018-01-29,-22.37305555555556,-62.47222222222222,24.0,0
2018-02-03,2018-01-30,-22.37305555555556,-62.47222222222222,0.800000011920929,0
2018-02-03,2018-01-31,-22.37305555555556,-62.47222222222222,30.0,0
2018-02-03,2018-02-01,-22.37305555555556,-62.47222222222222,22.100000381469727,0
2018-02-03,2018-02-02,-22.37305555555556,-62.47222222222222,8.5,0
2018-02-03,2018-02-03,-22.37305555555556,-62.47222222222222,0.1000000014901161,1
2018-02-03,2017-01-28,-22.37305555555556,-62.47222222222222,0.0,0
2018-02-03,2017-01-29,-22.37305555555556,-62.47222222222222,0.0,0
2018-02-03,2017-01-30,-22.37305555555556,-62.47222222222222,0.0,0
2018-02-03,2017-01-31,-22.37305555555556,-62.47222222222222,0.0,0
2018-02-03,2017-02-01,-22.37305555555556,-62.47222222222222,3.3999998569488525,0
2018-02-03,2017-02-02,-22.37305555555556,-62.47222222222222,11.5,0
2018-02-03,2017-02-03,-22.37305555555556,-62.47222222222222,0.3000000119209289,0
2017-04-12,2017-04-06,-28.36305555555556,-64.13111111111111,0.0,0
2017-04-12,2017-04-07,-28.36305555555556,-64.13111111111111,0.2000000029802322,0
2017-04-12,2017-04-08,-28.36305555555556,-64.13111111111111,8.399999618530273,0
2017-04-12,2017-04-09,-28.36305555555556,-64.13111111111111,1.899999976158142,0
2017-04-12,2017-04-10,-28.36305555555556,-64.13111111111111,0.0,0
2017-04-12,2017-04-11,-28.36305555555556,-64.13111111111111,0.0,0
2017-04-12,2017-04-12,-28.36305555555556,-64.13111111111111,0.0,1
2017-04-12,2016-04-06,-28.36305555555556,-64.13111111111111,0.3000000119209289,0
2017-04-12,2016-04-07,-28.36305555555556,-64.13111111111111,0.7000000476837158,0
2017-04-12,2016-04-08,-28.36305555555556,-64.13111111111111,2.6000001430511475,0
2017-04-12,2016-04-09,-28.36305555555556,-64.13111111111111,0.0,0
2017-04-12,2016-04-10,-28.36305555555556,-64.13111111111111,1.3000000715255735,0
2017-04-12,2016-04-11,-28.36305555555556,-64.13111111111111,4.200000286102295,0
2017-04-12,2016-04-12,-28.36305555555556,-64.13111111111111,1.600000023841858,0
2016-04-07,2016-04-01,-31.548611111111114,-58.81,2.6000001430511475,0
2016-04-07,2016-04-02,-31.548611111111114,-58.81,21.100000381469727,0
2016-04-07,2016-04-03,-31.548611111111114,-58.81,2.0999999046325684,0
2016-04-07,2016-04-04,-31.548611111111114,-58.81,58.70000076293945,0
2016-04-07,2016-04-05,-31.548611111111114,-58.81,41.79999923706055,0
2016-04-07,2016-04-06,-31.548611111111114,-58.81,32.5,0
2016-04-07,2016-04-07,-31.548611111111114,-58.81,3.299999952316284,1
2016-04-07,2015-04-02,-31.548611111111114,-58.81,0.0,0
2016-04-07,2015-04-03,-31.548611111111114,-58.81,0.0,0
2016-04-07,2015-04-04,-31.548611111111114,-58.81,0.0,0
2016-04-07,2015-04-05,-31.548611111111114,-58.81,0.0,0
2016-04-07,2015-04-06,-31.548611111111114,-58.81,0.0,0
2016-04-07,2015-04-07,-31.548611111111114,-58.81,0.0,0
2016-04-07,2015-04-08,-31.548611111111114,-58.81,0.0,0
